latitud,cat_nom_catala,codi,espai_verd,adreca,catalogacio,nom_districte,tipus_element,cat_nom_castella,nom_barri,geom,cat_nom_cientific,x_etrs89,data_plantacio,codi_barri,longitud,codi_districte,tipus_reg,categoria_arbrat,cat_especie_id,tipus_aigua,y_etrs89,_id
41.4356240,Pi blanc,0000394AR,"Central de Nou Barris, Parc","C\ Borgonya, 6",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430586.54742735 4587450.3611847),Pinus halepensis,430586.547,,48,2.1691563,8,GOTEIG,EXEMPLAR,99,,4587450.361,11
41.4357037,Pi blanc,0000395AR,"Central de Nou Barris, Parc","C\ Borgonya, 10",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430587.981402006 4587459.20512812),Pinus halepensis,430587.981,,48,2.1691724,8,DIFUSIÓ,EXEMPLAR,99,,4587459.205,12
41.4357329,Palmera de Canaries; palmera de Canàries,0000396AR,"Central de Nou Barris, Parc","C\ Borgonya, 10",,NOU BARRIS,PALMERA ZONA,Palmera canaria,LA GUINEUETA,POINT (430588.274464967 4587462.4350133),Phoenix canariensis,430588.274,,48,2.1691756,8,DIFUSIÓ,SEGONA,47,,4587462.435,13
41.4359833,Pi pinyoner; pi pinyer,0000398AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430592.023437194 4587490.20416809),Pinus pinea,430592.023,,48,2.1692173,8,GOTEIG,TERCERA,108,,4587490.204,14
41.4359423,Pi pinyoner; pi pinyer,0000399AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430591.594350858 4587485.65423251),Pinus pinea,430591.594,,48,2.1692126,8,GOTEIG,SEGONA,108,,4587485.654,15
41.4359755,Pi pinyoner; pi pinyer,0000400AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430596.533854596 4587489.29594802),Pinus pinea,430596.534,,48,2.1692713,8,GOTEIG,TERCERA,108,,4587489.296,16
41.4359373,Pi pinyoner; pi pinyer,0000401AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430595.882005068 4587485.06174444),Pinus pinea,430595.882,,48,2.1692640,8,GOTEIG,TERCERA,108,,4587485.062,17
41.4359696,Pi pinyoner; pi pinyer,0000402AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430601.340579817 4587488.59649886),Pinus pinea,430601.341,,48,2.1693290,8,GOTEIG,SEGONA,108,,4587488.596,18
41.4359307,Pi pinyoner; pi pinyer,0000403AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430600.458338219 4587484.28304329),Pinus pinea,430600.458,,48,2.1693189,8,GOTEIG,TERCERA,108,,4587484.283,19
41.4359610,Pi pinyoner; pi pinyer,0000404AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430606.233040297 4587487.58966982),Pinus pinea,430606.233,,48,2.1693876,8,GOTEIG,TERCERA,108,,4587487.590,20
41.4359251,Pi pinyoner; pi pinyer,0000405AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430605.596489686 4587483.6160741),Pinus pinea,430605.596,,48,2.1693805,8,GOTEIG,SEGONA,108,,4587483.616,21
